permutation,diagonal_dominance,matching_margin
498,0.24019607843137256,-864.5557746139227
499,0.24019607843137256,-862.3254430060293
500,0.21568627450980393,-934.1829035048391
501,0.25980392156862747,-787.062382922453
502,0.2549019607843137,-868.6793356502758
503,0.16666666666666666,-1001.1695289798812
504,0.23039215686274508,-797.6394612461913
505,0.22549019607843138,-1030.1322316562428
506,0.18627450980392157,-1075.5505027584002
507,0.29411764705882354,-800.2986086957595
508,0.2107843137254902,-901.9245197445739
509,0.23039215686274508,-964.057656026354
510,0.20098039215686275,-929.1633838952756
511,0.23529411764705882,-936.6470194236905
512,0.20588235294117646,-911.0380932677026
513,0.20588235294117646,-935.7463913805344
514,0.23529411764705882,-1012.1069604462268
515,0.23529411764705882,-868.2355006909838
516,0.22549019607843138,-763.7721707026163
517,0.22058823529411764,-1032.3621610005696
518,0.19607843137254902,-1055.3526698093788
519,0.21568627450980393,-971.3564045662973
520,0.20098039215686275,-1033.8841793583888
521,0.28921568627450983,-718.5478630813898
522,0.19607843137254902,-945.191338857015
523,0.2549019607843137,-885.376176441417
524,0.21568627450980393,-962.264774649751
525,0.17647058823529413,-1023.8661725474338
526,0.20588235294117646,-980.4556682250079
527,0.2107843137254902,-934.0286477500317
528,0.23529411764705882,-895.412045731264
529,0.2107843137254902,-1038.6886876050164
530,0.23529411764705882,-1016.3708596884036
531,0.24509803921568626,-933.2609724343992
532,0.23039215686274508,-884.474410533905
533,0.22058823529411764,-1015.930844559389
534,0.20588235294117646,-936.5535867167454
535,0.22549019607843138,-934.7662859523998
536,0.23529411764705882,-838.894473992142
537,0.25,-832.3721795923569
538,0.22058823529411764,-969.8743184594547
539,0.24509803921568626,-782.797986535465
540,0.2107843137254902,-1077.187537688835
541,0.20588235294117646,-1007.7872382519292
542,0.21568627450980393,-942.4733040005553
543,0.20098039215686275,-958.2511005027621
544,0.1568627450980392,-1163.1536991455976
545,0.25,-971.4535902060715
546,0.3088235294117647,-862.8337404774685
547,0.21568627450980393,-901.617387416316
548,0.19607843137254902,-929.362600513533
549,0.22549019607843138,-900.6460062943253
550,0.23039215686274508,-896.3780602006351
551,0.19117647058823528,-863.1877236085779
552,0.23529411764705882,-986.7658760126899
553,0.23529411764705882,-917.8486898272645
554,0.28921568627450983,-797.4329735625024
555,0.2549019607843137,-782.4906405748105
556,0.20588235294117646,-993.1100134943046
557,0.19607843137254902,-1062.8834369696822
558,0.2107843137254902,-965.9732918832816
559,0.21568627450980393,-973.3005106682871
560,0.20098039215686275,-1010.552791520661
561,0.2696078431372549,-949.9687151628382
562,0.2107843137254902,-857.5957467602749
563,0.21568627450980393,-822.2664845784506
564,0.21568627450980393,-831.1528340975443
565,0.22549019607843138,-896.9727522532145
566,0.2107843137254902,-1023.1225791631961
567,0.22549019607843138,-908.8018464855119
568,0.18137254901960784,-1135.8525688881969
569,0.25,-917.0399362152698
570,0.24019607843137256,-1030.5833459367939
571,0.22549019607843138,-1014.1094795301849
572,0.19607843137254902,-991.7752266491161
573,0.19117647058823528,-1117.1539964862898
574,0.20098039215686275,-1125.893280468735
575,0.24019607843137256,-965.434458508211
576,0.1715686274509804,-913.5544792250091
577,0.24019607843137256,-972.9609494863772
578,0.18137254901960784,-1030.3418268689923
579,0.2107843137254902,-961.718537536322
580,0.20098039215686275,-1114.6374186347512
581,0.22549019607843138,-742.1221521695455
582,0.2107843137254902,-1007.6977285684324
583,0.24509803921568626,-796.0037736705705
584,0.22058823529411764,-901.3016859035866
585,0.21568627450980393,-916.3493368485395
586,0.22058823529411764,-1034.5328050688202
587,0.19117647058823528,-1025.829025661244
588,0.2107843137254902,-1082.3810052497713
589,0.22058823529411764,-886.050132302677
590,0.23529411764705882,-907.1990295297959
591,0.25980392156862747,-971.9728318569707
592,0.22058823529411764,-892.1588504735162
593,0.22058823529411764,-931.2164977765551
594,0.23039215686274508,-856.4798746950486
595,0.22549019607843138,-894.3304707957249
596,0.22058823529411764,-1123.0833737055461
597,0.18627450980392157,-970.5781042996575
598,0.24019607843137256,-1021.5676245782889
599,0.24509803921568626,-987.8815476286645
600,0.27941176470588236,-935.4016726905224
601,0.2549019607843137,-977.5048290327484
602,0.24509803921568626,-813.9335324904498
603,0.19607843137254902,-962.94323201273
604,0.22058823529411764,-897.8806363461065
605,0.17647058823529413,-997.8212051765591
606,0.2696078431372549,-795.6925892549402
607,0.19117647058823528,-1111.2843312469183
608,0.22549019607843138,-1050.1432893229467
609,0.25,-816.4125474948509
610,0.24509803921568626,-781.0389290603937
611,0.22058823529411764,-995.7689607470643
612,0.19607843137254902,-961.2242775898354
613,0.19607843137254902,-967.4068350885428
614,0.27941176470588236,-738.1094986223707
615,0.22549019607843138,-891.5284417657291
616,0.23039215686274508,-956.4967007637024
617,0.19117647058823528,-898.4955633761836
618,0.21568627450980393,-831.6923863280053
619,0.20098039215686275,-999.8800262563369
620,0.23039215686274508,-1042.5156410815669
621,0.25980392156862747,-908.1092991922416
622,0.20098039215686275,-762.271492434483
623,0.23039215686274508,-886.2338561263739
624,0.22058823529411764,-884.6218749775607
625,0.2647058823529412,-739.9791524083007
626,0.21568627450980393,-900.7008503745584
627,0.23039215686274508,-790.3652406767303
628,0.20588235294117646,-931.7862661399093
629,0.17647058823529413,-1016.7096903744866
